Crop_Type,Region,Soil_Type,Farming_Method,Fertilizer_Used,Area_Planted_Hectares,Yield_Tons_Per_Hectare,Total_Harvest_Tons,Rainfall_mm,Labor_Hours,Planting_Date,Harvest_Date
Soybeans,North,Peat,Conservation,Nitrogen-based,276.69,3.04,841.14,743.5,992,2025-05-09,2025-10-31
Corn,South,Clay,Organic,Nitrogen-based,488.13,8.28,4041.72,272.7,486,2025-03-08,2025-07-23
Corn,Midwest,Peat,Mixed,Potassium-based,190.88,3.95,753.98,990.1,1349,2025-05-07,2025-09-12
Soybeans,North,Peat,Conservation,Potassium-based,185.02,3.15,582.81,417.8,2628,2025-03-05,2025-07-19
Rice,East,Loam,Conservation,Potassium-based,178.6,8.68,1550.25,877.0,4603,2025-05-28,2025-09-15
Corn,West,Loam,Conservation,Nitrogen-based,265.07,7.73,2048.99,1003.2,3628,2025-05-25,2025-09-21
Barley,South,Loam,Conservation,None,225.93,9.43,2130.52,761.9,997,2025-05-31,2025-09-28
Corn,North,Silt,Conventional,Potassium-based,441.16,4.75,2095.51,940.9,810,2025-04-08,2025-08-01
Wheat,Midwest,Peat,Mixed,Phosphorus-based,257.71,6.2,1597.8,861.9,3795,2025-03-23,2025-07-12
Wheat,North,Sandy,Organic,Potassium-based,258.8,5.76,1490.69,555.5,2786,2025-05-07,2025-08-25
Rice,Midwest,Clay,Organic,Compost,77.8,11.83,920.37,1008.9,4612,2025-04-21,2025-07-20
Soybeans,East,Silt,Conventional,Potassium-based,491.54,4.57,2246.34,494.7,515,2025-03-04,2025-07-08
